Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Apple.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"Banana.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"Callback.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,9,1,4,3,0,4,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,1.00,0,0,0,0
File,"ExprD.java",1,1,1,1,4,0,3,0,,,,8,0,0,15,,23,23,7,23,,15,0,0,8,,120,20,88,47,18,17,,,,34,57,39,18,,,,,,1,1,1,1,,,0,,,0.19,15,15,15,15
File,"ExprD.java",1,1,1,1,4,0,3,0,,,,7,0,0,15,,20,20,7,20,,12,0,0,8,,114,19,83,43,18,17,,,,31,53,35,18,,,,,,1,1,1,1,,,0,,,0.20,15,15,15,15
File,"Food.java",0,0,0,0,0,0,0,0,,,,1,0,0,0,,1,1,0,1,,1,0,0,0,,5,1,4,3,0,0,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
File,"FruitD.java",1,1,1,1,3,0,3,0,,,,6,0,0,5,,5,5,0,5,,0,0,0,5,,34,7,27,12,5,6,,,,6,17,12,5,,,,,,1,1,1,1,,,0,,,0.22,5,5,5,5
File,"FruitD.java",1,1,1,1,3,0,3,0,,,,6,0,0,5,,5,5,0,5,,0,0,0,5,,34,7,27,12,5,6,,,,6,17,12,5,,,,,,1,1,1,1,,,0,,,0.22,5,5,5,5
File,"HongShaoRou.java",1,1,1,1,3,0,3,0,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,10,2,8,5,1,0,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"KaoRou.java",1,1,1,1,3,0,2,1,,,,7,0,0,19,,21,21,6,21,,14,0,0,7,,135,22,87,54,19,35,,,,34,54,35,19,,,,,,1,1,1,1,,,0,,,0.40,19,19,19,19
File,"KaoRouChuan.java",0,0,0,0,0,0,0,0,,,,4,0,0,0,,0,0,0,0,,0,0,0,0,,23,10,9,5,0,8,,,,1,5,5,0,,,,,,0,0,0,0,,,0,,,0.89,0,0,0,0
File,"KaoRouPlates.java",0,0,0,0,0,0,0,0,,,,6,0,0,0,,0,0,0,0,,0,0,0,0,,30,13,13,7,0,10,,,,1,7,7,0,,,,,,0,0,0,0,,,0,,,0.77,0,0,0,0
File,"LayerD.java",1,1,1,1,4,0,3,1,,,,3,0,0,2,,2,2,2,2,,0,0,0,2,,33,9,15,8,2,9,,,,5,10,8,2,,,,,,1,1,1,1,,,0,,,0.60,2,2,2,2
File,"Main.java",1,1,1,1,8,0,8,0,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,12,1,11,5,6,0,,,,7,9,5,4,,,,,,1,1,1,1,,,0,,,0.00,1,1,1,1
File,"Mian.java",1,1,1,1,8,0,7,1,,,,1,1,0,1,,1,0,0,1,,0,0,0,1,,12,1,10,4,5,1,,,,3,5,4,1,,,,,,1,1,1,1,,,0,,,0.10,1,1,1,1
File,"NumD.java",1,1,1,1,4,0,3,1,,,,3,0,0,1,,1,1,1,1,,0,0,0,1,,51,21,11,6,1,19,,,,3,7,6,1,,,,,,1,1,1,1,,,0,,,1.73,1,1,1,1
File,"NumD.java",1,1,1,1,4,0,3,1,,,,3,0,0,1,,1,1,1,1,,0,0,0,1,,51,21,11,6,1,19,,,,3,7,6,1,,,,,,1,1,1,1,,,0,,,1.73,1,1,1,1
File,"NumD.java",1,1,1,1,4,0,4,0,,,,3,0,0,3,,3,3,1,3,,0,0,0,3,,60,20,21,8,6,19,,,,6,13,8,5,,,,,,2,2,2,1,,,1,,,0.90,4,4,4,3
File,"PieD.java",1,1,1,1,4,0,3,1,,,,9,0,0,12,,15,15,2,15,,10,0,0,5,,180,33,77,35,19,76,,,,22,44,27,17,,,,,,2,2,2,1,,,1,,,0.99,14,14,14,12
File,"PieD.java",1,1,1,1,5,0,4,0,,,,7,0,0,12,,15,15,8,15,,5,0,0,10,,121,19,88,35,28,18,,,,32,55,31,24,,,,,,3,3,3,3,,,2,,,0.20,16,16,16,14
File,"PieD.java",1,1,1,1,4,0,3,1,,,,9,0,0,12,,15,15,4,15,,10,0,0,5,,118,27,78,37,21,20,,,,24,46,29,17,,,,,,2,2,2,1,,,1,,,0.26,14,14,14,12
File,"PieD.java",1,1,1,1,4,0,4,0,,,,13,0,0,20,,23,23,4,23,,18,0,0,5,,180,34,129,49,41,23,,,,36,74,41,33,,,,,,2,2,2,1,,,1,,,0.18,26,26,26,20
File,"PieD.java",1,1,1,1,5,0,4,0,,,,7,0,0,14,,17,17,8,17,,5,0,0,12,,126,18,94,37,30,18,,,,34,59,33,26,,,,,,3,3,3,3,,,2,,,0.19,18,18,18,16
File,"PieD.java",1,1,1,1,5,0,4,1,,,,11,0,0,16,,20,20,8,20,,5,0,0,15,,162,30,113,49,32,26,,,,38,68,40,28,,,,,,3,3,3,3,,,2,,,0.23,20,20,20,18
